alpha,H,He,Ti,S,Ti_1,S_1,amu/ion,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,phiK_Ti,phiTilt_Ti,phiM_Ti,phiN_Ti,energyK_Ti,energyE_Ti
0,0.000E+00,0.000E+00,9.753E-03,2.041E-04,0.000E+00,0.000E+00,7.763E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.506E+00,-4.990E-03,2.266E+00,2.221E+00,1.552E-01,2.174E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.792E+00,-5.119E-03,1.380E+00,1.443E+00,4.867E-02,4.802E+00
1,0.000E+00,0.000E+00,9.785E-03,2.045E-04,0.000E+00,0.000E+00,7.794E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.504E+00,6.293E-03,2.155E+00,2.317E+00,1.538E-01,2.192E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.796E+00,-1.419E-02,1.415E+00,1.434E+00,4.860E-02,4.806E+00
2,0.000E+00,0.000E+00,9.817E-03,2.048E-04,0.000E+00,0.000E+00,7.824E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.509E+00,1.758E-02,2.043E+00,2.413E+00,1.524E-01,2.210E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.801E+00,-2.325E-02,1.451E+00,1.425E+00,4.854E-02,4.811E+00
3,0.000E+00,0.000E+00,9.849E-03,2.052E-04,0.000E+00,0.000E+00,7.854E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.515E+00,2.886E-02,1.932E+00,2.509E+00,1.509E-01,2.227E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.805E+00,-3.232E-02,1.486E+00,1.416E+00,4.847E-02,4.815E+00
4,0.000E+00,0.000E+00,9.865E-03,2.054E-04,0.000E+00,0.000E+00,7.869E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.519E+00,3.450E-02,1.876E+00,2.558E+00,1.502E-01,2.236E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.807E+00,-3.686E-02,1.504E+00,1.411E+00,4.844E-02,4.817E+00
5,0.000E+00,0.000E+00,9.881E-03,2.056E-04,0.000E+00,0.000E+00,7.885E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.523E+00,4.014E-02,1.820E+00,2.606E+00,1.495E-01,2.245E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.809E+00,-4.139E-02,1.522E+00,1.407E+00,4.841E-02,4.820E+00
6,0.000E+00,0.000E+00,9.913E-03,2.059E-04,0.000E+00,0.000E+00,7.915E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.534E+00,5.142E-02,1.709E+00,2.702E+00,1.480E-01,2.263E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.814E+00,-5.046E-02,1.558E+00,1.398E+00,4.834E-02,4.824E+00
7,0.000E+00,0.000E+00,9.946E-03,2.063E-04,0.000E+00,0.000E+00,7.945E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.546E+00,6.270E-02,1.598E+00,2.798E+00,1.466E-01,2.281E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.818E+00,-5.952E-02,1.593E+00,1.389E+00,4.828E-02,4.828E+00
8,0.000E+00,0.000E+00,9.978E-03,2.067E-04,0.000E+00,0.000E+00,7.976E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.560E+00,7.399E-02,1.486E+00,2.894E+00,1.451E-01,2.299E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.823E+00,-6.859E-02,1.629E+00,1.380E+00,4.821E-02,4.833E+00
9,0.000E+00,0.000E+00,9.994E-03,2.068E-04,0.000E+00,0.000E+00,7.991E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.568E+00,7.963E-02,1.430E+00,2.942E+00,1.444E-01,2.308E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.825E+00,-7.313E-02,1.646E+00,1.376E+00,4.818E-02,4.835E+00
10,0.000E+00,0.000E+00,1.001E-02,2.070E-04,0.000E+00,0.000E+00,8.006E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.576E+00,8.527E-02,1.375E+00,2.990E+00,1.437E-01,2.316E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.828E+00,-7.766E-02,1.664E+00,1.371E+00,4.815E-02,4.837E+00
11,0.000E+00,0.000E+00,1.014E-02,2.114E-04,0.000E+00,0.000E+00,8.114E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.570E+00,7.356E-02,1.420E+00,2.937E+00,1.454E-01,2.296E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.827E+00,-8.689E-02,1.706E+00,1.379E+00,4.823E-02,4.832E+00
12,0.000E+00,0.000E+00,1.027E-02,2.158E-04,0.000E+00,0.000E+00,8.222E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.565E+00,6.185E-02,1.464E+00,2.884E+00,1.470E-01,2.276E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.827E+00,-9.612E-02,1.748E+00,1.386E+00,4.831E-02,4.826E+00
13,0.000E+00,0.000E+00,1.040E-02,2.202E-04,0.000E+00,0.000E+00,8.329E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.560E+00,5.014E-02,1.509E+00,2.831E+00,1.487E-01,2.255E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.827E+00,-1.053E-01,1.790E+00,1.394E+00,4.839E-02,4.821E+00
14,0.000E+00,0.000E+00,1.046E-02,2.224E-04,0.000E+00,0.000E+00,8.383E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.558E+00,4.428E-02,1.532E+00,2.804E+00,1.495E-01,2.245E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.827E+00,-1.100E-01,1.811E+00,1.398E+00,4.843E-02,4.818E+00
15,0.000E+00,0.000E+00,1.053E-02,2.246E-04,0.000E+00,0.000E+00,8.437E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.555E+00,3.843E-02,1.554E+00,2.778E+00,1.504E-01,2.235E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.827E+00,-1.146E-01,1.832E+00,1.401E+00,4.847E-02,4.815E+00
16,0.000E+00,0.000E+00,1.066E-02,2.290E-04,0.000E+00,0.000E+00,8.545E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.551E+00,2.672E-02,1.599E+00,2.725E+00,1.520E-01,2.215E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.827E+00,-1.238E-01,1.874E+00,1.409E+00,4.855E-02,4.809E+00
